Unnamed: 0,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,.orientation.x.1,.orientation.y.1,.orientation.z.1,.orientation.w.1,.angular_velocity.x.1,.angular_velocity.y.1,.angular_velocity.z.1,.linear_acceleration.x.1,.linear_acceleration.y.1,.linear_acceleration.z.1,emg_0.1,emg_1.1,emg_2.1,emg_3.1,emg_4.1,emg_5.1,emg_6.1,emg_7.1,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9
11,-0.4548576246337152,0.0784342522348797,0.4951429215014355,0.7360612044361207,7.8125,146.5625,-70.9375,0.71240234375,1.01123046875,0.61181640625,6.5087602065075325,14.475873184066668,22.88878053464439,28.23186302960274,9.727026799234652,4.016159924707296,2.902289908939063,3.897679215395451,-0.4880188205192118,-0.7250704837128861,0.1890798281601448,-0.4476150612416082,43.5,40.1875,-63.25,0.923828125,0.5908203125,0.09228515625,4.54435387481218,4.702893311336879,9.043854797315293,8.811465890740168,6.429299717182194,3.9802395434707383,3.218644814206426,3.029560270996728,0.0034355852887368,-0.7841547954966006,0.0047553714703752,-2.3538992090290507,0.0010503520393268,1.5714488230918895,0.8036389141748832,0.0404734634420941,0.0404734634420941,0.0481274600293407,-0.0051425318936484,0.1081516227439582,0.0299403481150396,0.073996170390109,-0.0171903393989988,0.1327901439534419,0.0,0.0
12,-0.4582745963563538,0.0427877586635327,0.4851313920938066,0.7435059747225287,29.0625,189.3125,-99.125,0.56884765625,1.0546875,0.625,7.047093539405799,15.35174576446644,24.44994808643578,29.049202637901384,9.98241255357786,4.21088200581819,3.0939165007149403,4.063618410203379,-0.4899001713049687,-0.7227965278142201,0.1725361634831377,-0.4558445720040876,47.1875,69.5,-62.75,0.9072265625,0.35546875,0.20703125,5.164182539996783,5.083897902532487,8.815987926328884,8.889298902686578,6.707629117925467,4.052744383201464,3.2669945884462743,3.288148834849093,0.0249723764466579,-0.7876739841368663,0.0505754613241125,-2.339862106814905,0.0332944955195267,1.5632715003815,0.8578705430995363,0.0404730221300267,0.0404730221300267,0.1055887145064531,-0.0211598062216001,0.2204591862825313,0.0747915423278259,0.1576183945537921,-0.0443376936894873,0.2710918309330164,0.0,0.0
13,-0.452956284009166,0.0018311128581424,0.4709622271142333,0.756982055556081,4.6875,197.6875,-162.4375,0.1923828125,1.15234375,0.61083984375,7.565338855853491,17.23905383600821,27.706086302181863,32.24757609293241,11.089821373563916,4.654748401072386,3.3455517190272266,4.377060134071966,-0.4909517266596133,-0.7140894084929732,0.1699166592516613,-0.4692238779909382,-3.625,74.0625,3.375,0.8623046875,0.06005859375,0.13427734375,5.399720110645418,5.512643357290276,9.310658259340348,9.475772455914004,7.419339355826761,4.154535310119027,3.40905462387267,3.511399277491561,0.0473338163593283,-0.7928515648956251,0.0972530340207018,-2.323791961758721,0.0673848839577732,1.5524861038374052,0.9186813947214478,0.0404736206817031,0.0404736206817031,0.0947160546731174,-0.022623497659164,0.1919486301656879,0.0664753731659774,0.1410011344879051,-0.0455803064751302,0.2478923407896549,0.0,0.0
14,-0.4387807338295417,-0.0405272509754925,0.4401845392097169,0.7823468418732878,-93.75,216.5625,-229.0625,-0.67724609375,0.66845703125,0.4375,8.298399549921584,19.686283417137805,29.763966131381167,34.72216809665741,11.83387566609428,4.930715734755583,3.546466942059661,4.591122226487164,-0.4995599615156331,-0.699017744561826,0.1661944746740463,-0.4839353616197256,-32.125,84.375,-3.125,1.1923828125,0.41259765625,0.54345703125,5.446770831402128,5.384065177804358,9.9426392276965,11.42964679405638,8.6183889060427,4.274487012616213,3.454558635316588,3.420261858227048,0.0698912018869589,-0.7983012654350357,0.1444425098756838,-2.30785820638073,0.1014534776165048,1.5422880224172368,0.978941953215945,0.0404733539978903,0.0404733539978903,0.0952309833093831,-0.0251733299375265,0.2019926757685472,0.0674058325161859,0.1443297901382944,-0.046932785106943,0.2495820096533214,0.0,0.0
15,-0.4259164477662609,-0.0863674080810059,0.4156622254640637,0.7989748210461959,-33.4375,219.125,-207.3125,-0.86865234375,0.763671875,0.6826171875,8.955908358259135,21.50702115124975,32.70636719281756,39.35817019474834,12.832532132858136,5.4768182275747606,3.905935781303236,4.979065739960648,-0.5143754886026289,-0.6801376892486589,0.1523962500048368,-0.4996058079854201,-55.0625,160.5625,-35.125,1.03271484375,0.580078125,0.580078125,5.637125315023146,5.6988559572884645,10.235997776101426,13.42481834143674,9.826860929721835,4.7124791241143615,3.831329181238877,3.613794654767225,0.0923631794501321,-0.8037872244267166,0.1914348804767383,-2.2918697797121355,0.1357097272185804,1.5311509467672375,1.0392984410240476,0.0404733238433109,0.0404733238433109,0.0955211834121259,-0.0218606969021288,0.2073063308612817,0.0683870221820537,0.1483391520152143,-0.0481520487739512,0.2592290385490683,0.0,0.0
16,-0.409309252252402,-0.1423976268274461,0.4156570247299221,0.7996362233460661,143.1875,211.5625,-204.75,-0.40087890625,0.67041015625,0.5068359375,9.571349767752643,22.706436317600765,35.62592495343391,42.98729353595376,13.672901478250523,5.936859819275035,4.176957449777001,5.09531085750382,-0.5357944334591555,-0.6538291110203819,0.1404331918657611,-0.5154709858749319,-108.75,184.6875,-37.0,0.7861328125,0.6220703125,0.5703125,6.145700161375843,6.401979316706036,10.717917737198716,15.779721416734631,11.792839536671597,5.466715470055844,4.096853380562618,3.8189437255331256,0.1148987301864217,-0.8087173659666496,0.2384406344158709,-2.275906596866339,0.1697801327296985,1.5210147928038646,1.1000493951011292,0.0404733293496912,0.0404733293496912,0.0930080350011788,-0.0240249584611335,0.1934624138232672,0.0649017907773535,0.1427431564434873,-0.0428546756326005,0.2519575690994731,0.0,0.0
17,-0.3775636945753901,-0.2110596921826218,0.423034912237638,0.7962040730255356,226.125,221.4375,-290.375,-0.3818359375,0.83837890625,0.31689453125,9.64892443149231,22.72297327862349,35.28828223437124,42.28411296849064,13.378518147839442,5.899388852361009,4.185409272852628,5.130340642058416,-0.5602188024111574,-0.6179557004480847,0.1353094111499658,-0.5347681824519622,-166.375,206.8125,-2.1875,0.7802734375,0.58984375,0.693359375,6.276463201776184,6.491529751435134,10.71248588233182,17.033457798241606,13.075068733003793,5.692531393596775,4.031947785090427,3.873800410399325,0.1373622759235113,-0.8146328014098663,0.285482056805544,-2.2598719037034205,0.2038353287387693,1.5103749900014956,1.160569927933906,0.0404733148216904,0.0404733148216904,0.0970800023212753,-0.0217415034440251,0.2004012832894724,0.0698526336240838,0.1495415659074376,-0.0424090425133017,0.2607360957425489,0.0,0.0
18,-0.3400987404660174,-0.2785733401807077,0.4245130545479452,0.7915291576387856,207.75,214.75,-315.375,-0.75390625,1.00927734375,0.40380859375,10.157514875847264,23.185306086344003,35.367054795182355,41.29837783927351,13.109052781420344,6.283922234516671,4.961278749378165,5.3694144030417545,-0.5854246080747272,-0.5768190128142459,0.1318303954797133,-0.554236954329295,-193.0625,220.6875,6.75,0.8173828125,0.67578125,0.70751953125,5.960333112938654,6.252579251677013,10.849942391989778,18.743829744891087,14.363912967473,5.681751704860905,3.864236151252737,3.638627963420693,0.1598983088834334,-0.8193266116362581,0.3325022723510349,-2.2439745935583684,0.2377463505918032,1.5000619344425636,1.221265222111834,0.0404735332670694,0.0404735332670694,0.09285773987321,-0.0196712272779109,0.1963424802618229,0.0668875143542016,0.1406323084456979,-0.0420718953038283,0.2573522669117125,0.0,0.0
19,-0.3048143912096751,-0.3374076801375819,0.4213323473208624,0.7846803791332765,172.3125,195.375,-290.0,-0.70703125,1.0615234375,0.4228515625,10.255011099536585,22.997950297493308,34.65313411711065,40.31522370924152,12.831715554872332,6.740979882328616,5.831957734435399,5.506928448813547,-0.6105618705741981,-0.5300609602096072,0.127312281289262,-0.5744920919347187,-209.1875,247.6875,9.0,0.91064453125,0.62939453125,0.65283203125,5.74070669737153,5.715570018155454,10.567937711134109,18.868118963328996,14.442156465737217,5.571602990504968,3.695688216067161,3.5329148809851154,0.1821676001165644,-0.8251146317530162,0.3794627455556726,-2.227880710541704,0.2715226130499144,1.4892652797043364,1.2820383183532111,0.0404734048625016,0.0404734048625016,0.0957034821912744,-0.0266380533778542,0.1981240567919048,0.0677822432066085,0.1416456378755136,-0.0431809438991887,0.2589606156463501,0.0,0.0
20,-0.2801618705013202,-0.3890526715850577,0.4094391780659816,0.7762131823889518,105.1875,209.125,-241.25,-0.61865234375,0.9736328125,0.44775390625,10.35646374816016,22.50536297716115,33.10991033470897,38.25513561236791,12.158931845197234,6.944485249514184,7.054618653869164,5.475757207430448,-0.632668098716273,-0.4796583627060766,0.120845343956996,-0.5958651985111879,-205.5,269.125,17.25,0.98681640625,0.49560546875,0.7578125,5.871552321208485,5.705558281380086,10.008621018249473,19.28382644327167,14.60665190998716,5.552422857632491,3.611145122390628,3.5254518433363704,0.2048326750868691,-0.8305484535912226,0.4266747731383115,-2.2117799144098047,0.3059239279870539,1.4791961860967815,1.3429293599309642,0.0404739742381212,0.0404739742381212,0.0952239404975206,-0.0230168235198382,0.2033218076959451,0.0665880099685112,0.1474756470899586,-0.0448044731173339,0.2581866215986247,0.0,0.0
